decennie,split_genres,value
de 1960 à 1970,Action,6.5
de 1970 à 1980,Action,9.37
de 1980 à 1990,Action,9.81
de 1990 à 2000,Action,7.76
de 2000 à 2010,Action,6.33
de 2010 à 2020,Action,6.36
de 2020 à 2030,Action,6.58
de 1950 à 1960,Adventure,6.63
de 1960 à 1970,Adventure,8.2
de 1970 à 1980,Adventure,5.1
de 1980 à 1990,Adventure,5.25
de 1950 à 1960,Comedy,13.65
de 1960 à 1970,Comedy,14.06
de 1970 à 1980,Comedy,14.56
de 1980 à 1990,Comedy,14.83
de 1990 à 2000,Comedy,15.65
de 2000 à 2010,Comedy,13.52
de 2010 à 2020,Comedy,10.85
de 2020 à 2030,Comedy,11.21
de 1950 à 1960,Crime,8.19
de 1960 à 1970,Crime,8.02
de 1970 à 1980,Crime,8.25
de 1980 à 1990,Crime,6.93
de 1990 à 2000,Crime,7.41
de 2000 à 2010,Crime,6.03
de 2000 à 2010,Documentary,10.54
de 2010 à 2020,Documentary,15.73
de 2020 à 2030,Documentary,13.98
de 1950 à 1960,Drama,30.13
de 1960 à 1970,Drama,27.55
de 1970 à 1980,Drama,26.35
de 1980 à 1990,Drama,23.9
de 1990 à 2000,Drama,26.09
de 2000 à 2010,Drama,24.71
de 2010 à 2020,Drama,23.2
de 2020 à 2030,Drama,22.55
de 1970 à 1980,Horror,5.17
de 1980 à 1990,Horror,6.38
de 2020 à 2030,Horror,5.55
de 1950 à 1960,Romance,8.79
de 1960 à 1970,Romance,6.15
de 1980 à 1990,Romance,5.47
de 1990 à 2000,Romance,7.52
de 2000 à 2010,Romance,6.86
de 1970 à 1980,Thriller,5.63
de 1980 à 1990,Thriller,5.57
de 1990 à 2000,Thriller,6.57
de 2000 à 2010,Thriller,5.8
de 2010 à 2020,Thriller,5.95
de 2020 à 2030,Thriller,7.59
de 1950 à 1960,Autres,2.91
de 1950 à 1960,Autres,0.0
de 1960 à 1970,Autres,0.0
de 1970 à 1980,Autres,1.55
de 1980 à 1990,Autres,1.23
de 1990 à 2000,Autres,0.14
de 2000 à 2010,Autres,0.09
de 2010 à 2020,Autres,0.04
de 2020 à 2030,Autres,0.0
de 1990 à 2000,Autres,4.02
de 2000 à 2010,Autres,4.32
de 2010 à 2020,Autres,4.59
de 2020 à 2030,Autres,4.03
de 1950 à 1960,Autres,0.23
de 1960 à 1970,Autres,0.34
de 1970 à 1980,Autres,0.66
de 1980 à 1990,Autres,1.33
de 1990 à 2000,Autres,1.28
de 2000 à 2010,Autres,1.89
de 2010 à 2020,Autres,2.09
de 2020 à 2030,Autres,2.3
de 1950 à 1960,Autres,1.64
de 1960 à 1970,Autres,1.05
de 1970 à 1980,Autres,1.12
de 1980 à 1990,Autres,1.26
de 1990 à 2000,Autres,1.66
de 2000 à 2010,Autres,1.78
de 2010 à 2020,Autres,3.12
de 2020 à 2030,Autres,2.47
de 2010 à 2020,Autres,4.59
de 2020 à 2030,Autres,4.61
de 1950 à 1960,Autres,1.14
de 1960 à 1970,Autres,2.12
de 1970 à 1980,Autres,3.2
de 1980 à 1990,Autres,2.99
de 1990 à 2000,Autres,4.72
de 1950 à 1960,Autres,1.41
de 1960 à 1970,Autres,1.43
de 1970 à 1980,Autres,1.16
de 1980 à 1990,Autres,1.23
de 1990 à 2000,Autres,2.27
de 2000 à 2010,Autres,2.15
de 2010 à 2020,Autres,2.3
de 2020 à 2030,Autres,1.81
de 1950 à 1960,Autres,1.19
de 1960 à 1970,Autres,1.73
de 1970 à 1980,Autres,1.86
de 1980 à 1990,Autres,2.88
de 1990 à 2000,Autres,2.49
de 2000 à 2010,Autres,2.33
de 2010 à 2020,Autres,2.08
de 2020 à 2030,Autres,2.02
de 1950 à 1960,Autres,2.96
de 1960 à 1970,Autres,0.0
de 1970 à 1980,Autres,0.0
de 1980 à 1990,Autres,0.0
de 1990 à 2000,Autres,0.0
de 2000 à 2010,Autres,0.0
de 2010 à 2020,Autres,0.0
de 2020 à 2030,Autres,0.0
de 1950 à 1960,Autres,0.0
de 1960 à 1970,Autres,0.0
de 1970 à 1980,Autres,0.0
de 1980 à 1990,Autres,0.0
de 1990 à 2000,Autres,0.0
de 2000 à 2010,Autres,0.0
de 2010 à 2020,Autres,0.0
de 2020 à 2030,Autres,0.0
de 1950 à 1960,Autres,2.01
de 1960 à 1970,Autres,1.97
de 1970 à 1980,Autres,1.35
de 1980 à 1990,Autres,1.09
de 1990 à 2000,Autres,1.19
de 2000 à 2010,Autres,1.31
de 2010 à 2020,Autres,2.24
de 2020 à 2030,Autres,1.68
de 1950 à 1960,Autres,1.56
de 1960 à 1970,Autres,2.76
de 1990 à 2000,Autres,3.31
de 2000 à 2010,Autres,4.01
de 2010 à 2020,Autres,4.0
de 1950 à 1960,Autres,1.58
de 1960 à 1970,Autres,0.7
de 1970 à 1980,Autres,0.85
de 1980 à 1990,Autres,1.4
de 1990 à 2000,Autres,1.22
de 2000 à 2010,Autres,1.43
de 2010 à 2020,Autres,1.53
de 2020 à 2030,Autres,1.66
de 1950 à 1960,Autres,3.3
de 1960 à 1970,Autres,1.52
de 1970 à 1980,Autres,0.59
de 1980 à 1990,Autres,0.77
de 1990 à 2000,Autres,0.29
de 2000 à 2010,Autres,0.56
de 2010 à 2020,Autres,0.43
de 2020 à 2030,Autres,0.6
de 1950 à 1960,Autres,1.55
de 1960 à 1970,Autres,2.45
de 1970 à 1980,Autres,2.85
de 1980 à 1990,Autres,2.39
de 1990 à 2000,Autres,2.34
de 2000 à 2010,Autres,2.82
de 2010 à 2020,Autres,2.69
de 2020 à 2030,Autres,2.99
de 1950 à 1960,Autres,0.0
de 1960 à 1970,Autres,0.0
de 1970 à 1980,Autres,0.01
de 1980 à 1990,Autres,0.0
de 1990 à 2000,Autres,0.0
de 2000 à 2010,Autres,0.05
de 2010 à 2020,Autres,0.14
de 2020 à 2030,Autres,0.03
de 1950 à 1960,Autres,0.0
de 1960 à 1970,Autres,0.0
de 1970 à 1980,Autres,0.0
de 1980 à 1990,Autres,0.0
de 1990 à 2000,Autres,0.0
de 2000 à 2010,Autres,0.01
de 2010 à 2020,Autres,0.02
de 2020 à 2030,Autres,0.02
de 1970 à 1980,Autres,4.29
de 2010 à 2020,Autres,4.59
de 2020 à 2030,Autres,4.56
de 1950 à 1960,Autres,1.36
de 1960 à 1970,Autres,1.61
de 1970 à 1980,Autres,1.73
de 1980 à 1990,Autres,2.9
de 1990 à 2000,Autres,2.28
de 2000 à 2010,Autres,1.59
de 2010 à 2020,Autres,1.79
de 2020 à 2030,Autres,2.13
de 1950 à 1960,Autres,0.0
de 1960 à 1970,Autres,0.0
de 1970 à 1980,Autres,0.0
de 1980 à 1990,Autres,0.0
de 1990 à 2000,Autres,0.0
de 2000 à 2010,Autres,0.0
de 2010 à 2020,Autres,0.01
de 2020 à 2030,Autres,0.0
de 1950 à 1960,Autres,0.37
de 1960 à 1970,Autres,0.26
de 1970 à 1980,Autres,0.44
de 1980 à 1990,Autres,0.53
de 1990 à 2000,Autres,0.65
de 2000 à 2010,Autres,0.75
de 2010 à 2020,Autres,0.69
de 2020 à 2030,Autres,0.89
de 1950 à 1960,Autres,0.0
de 1960 à 1970,Autres,0.0
de 1970 à 1980,Autres,0.0
de 1980 à 1990,Autres,0.0
de 1990 à 2000,Autres,0.01
de 2000 à 2010,Autres,0.0
de 2010 à 2020,Autres,0.0
de 2020 à 2030,Autres,0.0
de 1950 à 1960,Autres,2.09
de 1960 à 1970,Autres,3.82
de 1950 à 1960,Autres,3.06
de 1960 à 1970,Autres,3.38
de 1970 à 1980,Autres,1.64
de 1980 à 1990,Autres,1.6
de 1990 à 2000,Autres,0.92
de 2000 à 2010,Autres,0.98
de 2010 à 2020,Autres,0.79
de 2020 à 2030,Autres,0.61
de 1950 à 1960,Autres,4.27
de 1960 à 1970,Autres,4.4
de 1970 à 1980,Autres,2.28
de 1980 à 1990,Autres,0.25
de 1990 à 2000,Autres,0.23
de 2000 à 2010,Autres,0.13
de 2010 à 2020,Autres,0.19
de 2020 à 2030,Autres,0.16
